Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,58.000,0.000,36.07,2092.000,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,62691.265,1.510,21.43,1343192.519,41518740
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3687.384,0.000,13.85,51053.912,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,83088.979,2.001,16.09,1336585.896,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4459.779,210.715,36.91,164610.333,21165
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,8292.114,391.784,20.54,170333.236,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,81257.915,0.000,5.41,439424.113,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,62.550,18.215,37.46,2342.911,3434
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,122.952,35.804,17.96,2208.294,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,180.401,22.621,43.88,7916.055,7975
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,358.875,45.000,20.66,7415.865,0
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,1015.823,74.045,36.03,36603.041,13719
2010,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1438.672,104.867,22.03,31696.751,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,12.000,0.000,36.33,436.000,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,16415.557,1.509,21.44,351914.491,10878214
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,1180.262,0.000,13.87,16364.311,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,21778.328,2.002,16.11,350783.271,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,295.467,208.075,36.54,10796.274,1420
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,555.028,390.865,20.67,11473.812,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36701.342,0.000,5.42,198977.579,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,34.899,18.368,37.54,1310.196,1900
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,68.746,36.182,17.94,1233.090,0
2010,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,39.740,22.865,43.93,1745.681,1738
