Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,95.792,0.000,37.94,3634.684,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,68135.259,1.500,27.43,1868946.436,45423505
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,2282.616,0.000,22.94,52369.572,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,90847.010,2.000,18.66,1695496.497,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4719.540,225.051,41.71,196855.060,20971
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,9062.913,432.164,22.26,201780.894,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,84220.270,0.000,5.63,474130.233,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,58.370,19.720,47.44,2768.826,2960
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,111.459,37.655,25.17,2805.515,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,171.380,22.185,53.99,9252.082,7725
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,325.236,42.102,25.84,8402.473,0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,597.480,78.802,40.86,24415.440,7582
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,820.067,108.160,25.21,20669.903,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,29.259,0.000,37.92,1109.359,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,26669.653,1.500,27.42,731169.891,17779769
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,388.248,0.000,22.92,8900.453,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,35559.538,2.000,18.84,669987.824,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,252.720,215.081,41.05,10372.900,1175
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,486.730,414.238,21.72,10573.110,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,33751.630,0.000,5.61,189406.352,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,33.200,19.622,47.60,1580.483,1692
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,63.583,37.579,24.85,1580.135,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,24.810,22.231,53.45,1326.033,1116
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,46.941,42.062,25.69,1205.730,0
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,4141.940,77.780,40.98,169748.225,53252
2013,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,5706.822,107.166,25.40,144978.971,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,13.234,0.000,37.97,502.449,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,2932.790,216.171,41.20,120820.305,13567
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,5706.377,420.607,21.80,124373.459,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,29950.087,0.000,5.62,168204.127,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,1.610,19.634,47.42,76.351,82
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,3.046,37.146,25.24,76.880,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,9.390,22.146,52.39,491.945,424
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,17.751,41.866,25.61,454.608,0
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,44.200,82.617,39.41,1742.040,535
2013,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,62.601,117.011,23.64,1480.145,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,16.504,0.000,37.95,626.278,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,1,Carne,12308.645,1.500,27.44,337774.587,8205763
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,4,Huevo-plato,16.711,0.000,22.94,383.402,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,8,Ganado en pie,16411.526,2.000,18.86,309507.519,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,1501.630,209.696,41.16,61801.990,7161
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,2918.566,407.564,21.84,63744.685,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,21754.410,0.000,5.62,122155.607,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,2.570,19.323,47.46,121.981,133
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,4.938,37.128,24.99,123.393,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,8.310,22.101,52.36,435.139,376
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,15.913,42.322,25.93,412.653,0
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,36.230,84.650,38.70,1402.175,428
2013,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,51.489,120.301,23.46,1207.749,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,34.965,0.000,37.87,1324.274,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,1,Carne,5970.348,1.500,27.46,163929.870,3980233
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,8,Ganado en pie,7960.466,2.000,18.88,150256.135,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,3472.880,219.317,41.52,144191.800,15835
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,6764.315,427.175,21.83,147690.930,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,41026.500,0.000,5.63,230920.164,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,14.240,19.427,47.34,674.070,733
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,27.190,37.094,24.99,679.429,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,28.800,21.654,54.42,1567.261,1330
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,3,Ganado en pie,55.239,41.533,25.93,1432.406,0
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,1,Carne,606.550,80.658,40.82,24759.015,7520
2013,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,3,Ganado en pie,834.098,110.917,25.14,20966.135,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,35.098,0.000,37.92,1330.948,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,1,Carne,44501.090,1.500,27.42,1220049.149,29667392
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,8,Ganado en pie,59334.784,2.000,18.85,1118473.805,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,1,Carne,522.120,212.071,41.60,21722.710,2462
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,3,Ganado en pie,1008.932,409.802,22.23,22430.026,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,6,Leche,31923.841,0.000,5.63,179876.290,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,1,Carne,10.850,19.204,47.44,514.705,565
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,3,Ganado en pie,20.891,36.975,25.06,523.616,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,1,Carne,37.810,21.919,53.01,2004.419,1725
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,3,Ganado en pie,72.376,41.957,25.77,1864.950,0
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,1,Carne,3867.810,78.348,40.91,158217.625,49367
2013,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,3,Ganado en pie,5329.045,107.948,25.32,134955.575,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,29.359,0.000,37.97,1114.770,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,1,Carne,16919.429,1.500,27.44,464287.051,11279620
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,4,Huevo-plato,87.271,0.000,22.89,1997.314,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,8,Ganado en pie,22559.240,2.000,18.87,425691.957,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,1,Carne,1960.520,218.126,41.54,81449.650,8988
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,3,Ganado en pie,3760.753,418.419,22.10,83125.942,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,6,Leche,42609.640,0.000,5.63,239996.789,0
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,1,Carne,3.140,19.625,47.47,149.048,160
2013,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,3,Ganado en pie,5.978,37.363,25.19,150.585,0
