Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,276.750,0.000,44.15,12217.500,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,94757.180,1.581,27.38,2594385.760,59923791
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,2773.500,0.000,17.23,47789.750,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,119847.582,2.000,18.98,2274280.252,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,8004.770,248.758,64.45,515871.104,32179
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,14806.534,460.130,33.72,499309.718,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,94918.092,0.000,5.73,543614.239,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,60.710,21.659,56.73,3444.139,2803
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,116.731,41.645,28.29,3302.668,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,183.360,23.764,60.48,11088.620,7716
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,350.576,45.435,31.34,10987.477,0
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,782.686,81.931,38.22,29917.523,9553
2016,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1067.103,111.703,25.55,27262.704,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,63.750,0.000,42.35,2700.000,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,35192.621,1.583,27.31,961116.209,22227916
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,44455.832,2.000,18.95,842449.949,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,486.740,233.113,64.98,31630.088,2088
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,932.534,446.616,33.98,31684.369,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36257.139,0.000,5.63,204195.259,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,35.420,20.545,58.71,2079.402,1724
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,68.277,39.604,28.28,1931.087,0
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,26.080,22.857,60.05,1566.070,1141
2016,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,50.326,44.107,31.34,1577.213,0
