Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,75.000,0.000,25.81,1935.900,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,36579.458,1.575,20.14,736851.819,23230865
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3308.584,0.000,10.33,34192.015,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,47553.987,2.047,15.20,722564.358,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,5440.646,207.888,31.05,168952.998,26171
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,10194.601,389.538,18.10,184471.343,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,82577.107,0.000,3.97,328163.035,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,47.709,17.457,39.49,1884.124,2733
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,95.458,34.928,17.56,1676.279,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,110.365,21.713,45.32,5001.638,5083
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,219.825,43.247,21.68,4765.275,0
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,1208.737,79.168,31.66,38273.674,15268
2007,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1575.220,103.171,14.07,22170.405,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,9.000,0.000,25.59,230.346,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,10853.052,1.572,20.11,218263.642,6905721
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,1131.201,0.000,10.34,11701.449,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,14160.634,2.051,15.17,214830.080,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,425.186,207.712,30.34,12901.948,2047
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,797.381,389.536,18.10,14429.445,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,37535.048,0.000,3.97,149165.014,0
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,25.651,17.545,39.47,1012.520,1462
2007,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,51.064,34.928,17.61,899.334,0
