Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,81.000,0.000,28.39,2299.590,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,69706.401,1.539,20.55,1432483.022,45298865
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3942.385,0.000,12.82,50540.395,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,90997.200,2.009,15.14,1377515.274,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4986.330,213.905,32.42,161633.821,23311
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,9167.310,393.261,17.42,159702.791,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,81382.476,0.000,4.09,332981.242,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,63.248,17.593,37.73,2386.519,3595
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,125.680,34.960,17.31,2176.049,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,162.568,21.912,41.15,6688.901,7419
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,325.427,43.864,20.04,6522.495,0
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,1063.667,84.118,32.90,34998.555,12645
2008,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1328.763,105.082,15.70,20854.473,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,24.400,0.000,28.40,693.058,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,18381.858,1.532,19.86,365114.833,11999008
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,1257.954,0.000,12.76,16045.362,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,24015.971,2.002,15.08,362083.538,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,352.953,212.239,32.29,11398.300,1663
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,657.228,395.206,17.71,11640.872,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36486.056,0.000,4.06,148039.372,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,34.307,17.711,38.05,1305.323,1937
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,68.430,35.328,17.25,1180.599,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,37.959,21.853,41.02,1556.967,1737
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,76.189,43.862,19.98,1522.004,0
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,1779.975,84.064,32.83,58436.736,21174
2008,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,2220.506,104.869,15.61,34671.663,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,8.000,0.000,28.40,227.232,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,1005.415,211.889,32.52,32699.055,4745
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,1873.802,394.900,17.16,32146.599,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30348.180,0.000,4.05,123021.290,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,1.817,17.814,38.01,69.069,102
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,3.592,35.216,17.34,62.300,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,17.206,21.697,41.01,705.633,793
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,34.705,43.764,19.93,691.595,0
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,100.068,84.374,32.30,3232.472,1186
2008,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,124.597,105.056,15.10,1880.869,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,14.400,0.000,28.52,410.688,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,1,Carne,6049.067,1.549,19.89,120314.078,3904571
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,4,Huevo-plato,42.031,0.000,13.33,560.289,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,8,Ganado en pie,7824.600,2.004,15.02,117548.509,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,1654.565,210.719,32.37,53552.843,7852
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,3078.126,392.018,17.53,53966.476,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,22135.200,0.000,4.16,92074.418,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,2.953,18.006,37.92,111.974,164
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,5.840,35.610,17.37,101.421,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,11.584,21.898,41.04,475.366,529
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,23.764,44.923,19.84,471.359,0
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,163.579,84.102,32.57,5327.415,1945
2008,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,204.437,105.109,15.06,3077.956,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,28.000,0.000,28.40,795.200,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,1,Carne,5081.281,1.530,19.74,100296.973,3320739
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,4,Huevo-plato,43.016,0.000,13.09,563.213,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,8,Ganado en pie,6636.167,1.998,15.17,100668.704,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,2519.152,213.180,32.42,81666.598,11817
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,4652.798,393.738,17.39,80895.807,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,39743.303,0.000,4.17,165729.760,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,18.730,17.720,37.94,710.640,1057
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,37.266,35.257,17.34,646.058,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,25.431,21.923,41.00,1042.713,1160
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,3,Ganado en pie,51.639,44.516,19.87,1026.178,0
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,1,Carne,811.508,84.051,32.76,26581.634,9655
2008,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,3,Ganado en pie,1013.357,104.957,15.50,15708.986,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,25.800,0.000,28.45,733.958,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,1,Carne,43352.702,1.558,20.80,901830.160,27825624
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,4,Huevo-plato,123.594,0.000,12.81,1582.606,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,8,Ganado en pie,56213.992,2.020,15.74,884607.034,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,1,Carne,806.919,210.135,32.34,26091.609,3840
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,3,Ganado en pie,1509.098,392.994,17.63,26608.991,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,6,Leche,30474.812,0.000,4.16,126649.954,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,1,Carne,16.799,17.758,37.72,633.652,946
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,3,Ganado en pie,32.806,34.679,17.29,567.221,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,1,Carne,46.157,21.782,41.05,1894.649,2119
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,3,Ganado en pie,93.207,43.986,19.75,1840.618,0
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,1,Carne,3355.174,83.907,32.79,110020.531,39987
2008,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,3,Ganado en pie,4195.376,104.918,15.52,65122.046,0
2008,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,27.000,0.000,28.15,759.942,0
2008,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,1,Carne,9951.391,1.540,20.40,203001.340,6461138
