area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Coahuila_Zaragoza,66,30,151,121,27,127,84,38,8,134,681,36,9,4,19,5,3,"1,542"
Mexico_Colima_Armería,88,8,10,11,25,26,36,24,28,30,16,19,29,19,20,96,64,549
Mexico_Colima_Colima,85,36,22,12,27,12,85,25,19,20,14,60,19,32,25,17,29,539
Mexico_Colima_Comala,14,10,3,10,4,1,19,5,14,12,6,5,14,3,3,14,5,143
Mexico_Colima_Coquimatlán,94,21,31,22,30,23,53,24,26,49,34,40,16,31,14,8,14,528
Mexico_Colima_Cuauhtémoc,55,13,13,6,13,12,79,4,7,14,13,16,31,9,17,23,33,356
Mexico_Colima_Ixtlahuacán,43,8,2,4,7,4,8,1,2,1,1,6,23,6,13,19,13,161
Mexico_Colima_Manzanillo,377,18,22,16,48,21,64,39,42,32,50,21,62,42,53,100,197,"1,203"
Mexico_Colima_Minatitlán,10,3,6,4,2,1,7,3,5,1,20,9,30,21,14,11,33,181
Mexico_Colima_Tecomán,73,9,24,26,24,68,45,23,45,32,31,75,44,39,80,104,47,789
Mexico_Colima_Villa de Alvarez,44,16,8,29,12,7,32,11,11,7,7,12,14,7,14,15,18,264
Mexico_Distrito Federal_Alvaro Obregón,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,7
Mexico_Distrito Federal_Azcapotzalco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Benito Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mexico_Distrito Federal_Coyoacán,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
Mexico_Distrito Federal_Cuajimalpa de Morelos,1,0,0,1,1,0,0,0,0,0,1,1,3,0,0,0,0,8
Mexico_Distrito Federal_Cuauhtémoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Gustavo A. Madero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Iztacalco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mexico_Distrito Federal_Iztapalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Magdalena Contreras,2,1,1,2,1,0,0,0,1,1,0,0,0,0,0,3,0,13
Mexico_Distrito Federal_Miguel Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mexico_Distrito Federal_Milpa Alta,10,1,10,4,2,0,2,3,4,1,2,2,1,0,0,0,1,43
Mexico_Distrito Federal_Tlalpan,12,3,5,11,2,0,2,4,2,2,2,2,0,0,0,2,0,50
Mexico_Distrito Federal_Tláhuac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Venustiano Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Distrito Federal_Xochimilco,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,7
Mexico_Durango_Canatlán,2,1,1,1,6,3,3,10,11,3,1,65,97,12,0,2,5,224
Mexico_Durango_Canelas,4,18,9,9,18,14,35,30,38,33,28,60,40,31,21,51,78,515
Mexico_Durango_Coneto de Comonfort,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,2,11
Mexico_Durango_Cuencamé,7,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,13
Mexico_Durango_Durango,4,2,2,5,12,10,12,29,10,12,13,78,195,68,83,33,52,620
Mexico_Durango_El Oro,0,4,7,5,3,3,16,31,15,5,1,13,3,0,0,0,0,109
Mexico_Durango_General Simón Bolívar,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
Mexico_Durango_Guadalupe Victoria,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7
Mexico_Durango_Guanaceví,7,15,7,9,33,44,41,28,11,18,280,254,800,80,19,29,82,"1,757"
Mexico_Durango_Gómez Palacio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mexico_Durango_Hidalgo,0,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,7
Mexico_Durango_Indé,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8
Mexico_Durango_Lerdo,12,3,1,8,3,1,4,3,4,3,2,1,0,0,0,0,0,43
Mexico_Durango_Mapimí,5,0,2,3,1,12,3,4,0,6,1,7,0,0,0,0,0,46
Mexico_Durango_Mezquital,2,14,21,29,53,14,51,75,27,60,17,64,97,69,15,18,19,643
Mexico_Durango_Nazas,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,9
Mexico_Durango_Nombre de Dios,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Mexico_Durango_Ocampo,1,1,0,1,4,11,4,4,1,2,10,1,3,0,1,3,0,49
Mexico_Durango_Otáez,5,13,12,14,63,14,14,28,16,31,42,30,29,6,4,19,21,358
Mexico_Durango_Peñón Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Durango_Poanas,27,1,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,38
Mexico_Durango_Pueblo Nuevo,33,66,35,79,112,155,111,151,249,197,264,231,469,260,220,241,321,"3,193"
Mexico_Durango_Pánuco de Coronado,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Durango_Rodeo,0,0,1,1,0,0,0,12,1,1,2,1,0,0,0,0,0,19
Mexico_Durango_San Bernardo,0,2,10,4,9,1,10,2,1,4,1,4,45,0,0,1,2,96
Mexico_Durango_San Dimas,47,16,28,23,156,59,49,80,85,94,175,185,413,183,78,110,71,"1,851"
Mexico_Durango_San Juan de Guadalupe,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Mexico_Durango_San Juan del Río,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Durango_San Luis de Cordero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Durango_San Pedro del Gallo,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,10
Mexico_Durango_Santa Clara,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mexico_Durango_Santiago Papasquiaro,14,42,20,33,77,71,70,145,52,52,160,136,117,65,33,165,223,"1,473"
Mexico_Durango_Súchil,0,0,0,0,0,1,0,3,0,1,11,3,9,1,0,0,0,31
Mexico_Durango_Tamazula,90,427,195,137,513,99,295,610,130,235,624,484,405,228,98,203,147,"4,920"
Mexico_Durango_Tepehuanes,9,32,24,31,62,72,335,152,34,25,220,154,232,101,54,67,173,"1,777"
Mexico_Durango_Tlahualilo,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Mexico_Durango_Topia,18,95,24,19,86,72,76,107,32,68,160,104,89,97,115,181,203,"1,545"
Mexico_Durango_Vicente Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Guanajuato_Abasolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Guanajuato_Acámbaro,51,9,13,7,1,1,5,1,9,14,3,58,15,12,4,5,12,218
Mexico_Guanajuato_Allende,4,1,1,4,2,0,1,2,2,1,0,2,3,1,0,0,0,23
Mexico_Guanajuato_Apaseo el Alto,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Mexico_Guanajuato_Apaseo el Grande,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Mexico_Guanajuato_Atarjea,2,4,1,4,11,1,9,3,2,4,3,1,3,1,1,1,1,51
Mexico_Guanajuato_Celaya,3,0,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,10
Mexico_Guanajuato_Comonfort,3,0,1,2,2,0,2,1,1,0,1,1,0,0,0,0,0,14
Mexico_Guanajuato_Coroneo,1,0,0,0,0,0,0,0,1,1,4,1,2,1,3,2,9,26
Mexico_Guanajuato_Cortazar,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
Mexico_Guanajuato_Cuerámaro,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,10
Mexico_Guanajuato_Doctor Mora,18,5,7,10,6,4,1,1,1,4,0,1,0,0,0,0,0,58
Mexico_Guanajuato_Dolores Hidalgo,3,0,0,2,2,0,1,0,1,1,2,1,5,1,0,0,1,20
Mexico_Guanajuato_Guanajuato,3,2,1,2,1,3,2,1,2,0,1,16,29,2,0,0,0,65
Mexico_Guanajuato_Huanímaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Guanajuato_Irapuato,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4
Mexico_Guanajuato_Jaral del Progreso,21,0,0,1,2,1,3,0,9,1,9,3,3,0,0,0,0,51
Mexico_Guanajuato_Jerécuaro,4,0,1,1,0,0,1,0,2,3,7,8,11,8,9,1,8,66
Mexico_Guanajuato_León,16,3,3,1,3,2,4,2,0,1,1,1,0,0,0,0,0,37
Mexico_Guanajuato_Manuel Doblado,1,0,0,6,0,1,6,1,1,0,3,11,3,0,0,0,0,33
Mexico_Guanajuato_Moroleón,1,0,0,0,0,2,1,2,1,1,6,4,1,2,0,5,0,25
Mexico_Guanajuato_Ocampo,0,0,0,1,0,0,0,0,0,0,2,2,13,2,0,0,0,21
Mexico_Guanajuato_Pueblo Nuevo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Guanajuato_Purísima del Rincón,1,1,1,1,1,0,1,2,6,0,0,4,0,0,0,0,0,18
Mexico_Guanajuato_Pénjamo,1,1,0,1,2,0,3,2,1,1,2,6,4,2,0,0,0,27
Mexico_Guanajuato_Romita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Guanajuato_Salamanca,1,1,0,0,0,0,1,0,1,0,2,2,2,2,0,0,0,12
Mexico_Guanajuato_Salvatierra,3,1,2,1,1,1,3,0,4,2,0,1,4,0,0,19,0,43
Mexico_Guanajuato_San Diego de la Unión,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,9
Mexico_Guanajuato_San Felipe,9,2,2,1,4,1,3,1,5,2,2,8,93,6,0,0,1,138
Mexico_Guanajuato_San Francisco del Rincón,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7
Mexico_Guanajuato_San José Iturbide,26,3,6,5,5,0,8,2,3,4,2,1,0,0,0,0,0,67
Mexico_Guanajuato_San Luis de la Paz,7,2,1,4,1,0,2,1,1,1,1,2,3,1,0,0,0,27
Mexico_Guanajuato_Santa Catarina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mexico_Guanajuato_Santa Cruz de Juventino Rosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Guanajuato_Santiago Maravatío,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Guanajuato_Silao,1,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,7
Mexico_Guanajuato_Tarandacuao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mexico_Guanajuato_Tarimoro,5,1,1,1,3,0,2,0,4,2,0,3,5,0,0,0,3,31
Mexico_Guanajuato_Tierra Blanca,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Mexico_Guanajuato_Uriangato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Guanajuato_Valle de Santiago,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
Mexico_Guanajuato_Victoria,1,0,6,0,1,1,0,0,3,0,0,0,0,1,0,0,0,14
Mexico_Guanajuato_Villagrán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Guanajuato_Xichú,38,2,5,9,3,9,2,3,8,5,4,5,3,2,0,0,0,100
Mexico_Guanajuato_Yuriria,2,0,0,1,0,1,1,1,0,1,8,2,3,1,0,0,0,21
Mexico_Guerrero_Acapulco de Juárez,432,259,160,500,365,401,"1,358",741,"1,389",416,734,"1,379","1,030",605,800,587,307,"11,462"
Mexico_Guerrero_Ahuacuotzingo,60,2,3,30,9,30,9,16,9,30,12,17,11,4,2,3,1,249
Mexico_Guerrero_Ajuchitlán del Progreso,11,8,5,10,6,16,29,18,21,33,17,65,113,121,101,226,165,962
Mexico_Guerrero_Alcozauca de Guerrero,4,1,1,2,2,4,2,3,1,4,1,5,6,2,1,4,1,45
Mexico_Guerrero_Alpoyeca,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5
Mexico_Guerrero_Apaxtla,4,2,3,18,2,10,15,27,9,13,18,25,46,8,17,18,3,239
Mexico_Guerrero_Arcelia,5,1,2,4,5,4,33,7,20,6,10,70,78,46,25,56,14,387
Mexico_Guerrero_Atenango del Río,3,1,5,3,6,4,1,3,3,9,2,2,8,1,0,0,0,52
Mexico_Guerrero_Atlamajalcingo del Monte,4,1,1,1,0,5,1,1,1,4,1,3,3,3,3,3,13,45
Mexico_Guerrero_Atlixtac,35,4,1,16,13,25,6,18,10,11,23,8,4,4,3,6,13,200
Mexico_Guerrero_Atoyac de Alvarez,64,36,24,75,59,55,208,100,127,116,83,147,312,319,123,384,328,"2,560"
Mexico_Guerrero_Ayutla de los Libres,37,35,11,121,64,90,167,147,65,99,142,131,173,130,178,202,208,"2,002"
Mexico_Guerrero_Azoyú,167,141,29,97,124,177,328,290,214,225,140,338,315,398,306,310,133,"3,730"
Mexico_Guerrero_Benito Juárez,12,1,6,8,4,13,35,12,50,10,9,23,85,28,48,112,79,535
Mexico_Guerrero_Buenavista de Cuéllar,7,1,2,2,2,6,2,1,1,4,2,20,46,16,1,1,0,114
Mexico_Guerrero_Chilapa de Alvarez,3,0,1,3,1,5,2,2,1,1,2,3,1,0,0,0,1,26
Mexico_Guerrero_Chilpancingo de los Bravo,68,11,11,107,81,46,65,185,75,64,202,163,347,280,142,272,275,"2,394"
Mexico_Guerrero_Cocula,1,0,0,0,1,1,1,1,3,0,1,0,2,16,1,3,0,32
Mexico_Guerrero_Copala,66,45,26,84,46,58,68,91,55,43,66,86,68,75,61,71,71,"1,079"
Mexico_Guerrero_Copalillo,1,0,0,1,1,0,0,0,0,2,1,3,12,1,0,0,0,22
Mexico_Guerrero_Copanatoyac,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,9
Mexico_Guerrero_Coyuca de Benítez,267,116,48,261,173,241,379,316,494,288,320,503,837,580,432,674,445,"6,376"
Mexico_Guerrero_Coyuca de Catalán,48,15,16,19,17,39,66,47,52,81,52,194,183,216,157,247,271,"1,720"
Mexico_Guerrero_Cuajinicuilapa,66,75,30,93,90,92,296,165,273,139,84,260,225,241,213,208,150,"2,701"
Mexico_Guerrero_Cualác,1,1,0,1,0,1,0,3,0,0,0,1,3,3,1,10,1,26
Mexico_Guerrero_Cuautepec,119,137,73,155,109,227,410,296,137,296,209,394,229,152,183,248,140,"3,513"
Mexico_Guerrero_Cuetzala del Progreso,0,2,1,3,3,5,2,4,3,4,4,2,13,83,44,23,7,203
Mexico_Guerrero_Cutzamala de Pinzón,8,14,7,9,11,9,20,29,24,26,19,41,48,40,11,54,4,375
Mexico_Guerrero_Eduardo Neri,7,4,4,9,31,59,31,21,13,28,18,11,24,27,6,18,1,311
Mexico_Guerrero_Erongarícuaro,46,9,11,15,44,23,124,52,56,70,94,363,286,264,389,285,167,"2,299"
Mexico_Guerrero_Florencio Villarreal,29,47,6,44,32,43,139,60,33,71,65,163,117,91,112,114,53,"1,221"
Mexico_Guerrero_General Canuto A. Neri,5,1,1,2,0,1,4,1,10,7,9,31,19,12,8,15,7,131
Mexico_Guerrero_General Heliodoro Castillo,166,20,17,276,86,47,71,151,145,137,187,232,259,127,70,211,113,"2,314"
Mexico_Guerrero_Huamuxtitlán,5,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,13
Mexico_Guerrero_Huitzuco de los Figueroa,0,1,2,1,1,0,3,1,1,5,1,4,15,2,1,7,0,45
Mexico_Guerrero_Iguala de la Independencia,1,1,0,3,2,0,3,1,2,3,1,2,9,2,1,3,0,35
Mexico_Guerrero_Igualapa,47,10,4,7,7,29,21,61,26,53,15,43,69,106,92,188,74,852
Mexico_Guerrero_Ixcateopan de Cuauhtémoc,0,0,2,3,2,1,2,1,2,3,1,1,4,1,0,1,0,25
Mexico_Guerrero_José Azueta,39,39,25,33,4,56,220,69,99,31,40,255,300,264,391,577,285,"2,727"
Mexico_Guerrero_Juan R. Escudero,2,3,6,33,19,9,23,41,26,20,36,43,46,48,40,46,38,479
Mexico_Guerrero_La Union,338,150,123,97,139,81,271,205,166,140,175,284,274,209,620,650,449,"4,371"
Mexico_Guerrero_Leonardo Bravo,68,8,4,59,56,12,27,35,39,34,83,79,202,228,31,118,137,"1,218"
Mexico_Guerrero_Malinaltepec,6,8,7,12,5,16,14,11,14,16,5,18,55,47,70,78,98,480
Mexico_Guerrero_Metlatónoc,17,21,10,18,13,53,42,44,43,46,69,63,157,83,127,149,388,"1,345"
Mexico_Guerrero_Mochitlán,4,4,4,14,11,13,22,21,7,13,17,34,53,39,18,22,43,339
Mexico_Guerrero_Mártir de Cuilapan,3,1,1,5,4,2,3,1,1,10,0,3,2,1,0,0,0,37
Mexico_Guerrero_Olinalá,4,1,0,3,2,2,1,1,2,4,1,4,10,2,0,1,0,39
Mexico_Guerrero_Ometepec,83,21,10,39,26,66,76,105,58,51,32,116,86,232,147,219,50,"1,417"
Mexico_Guerrero_Pedro Ascencio Alquisiras,6,1,1,2,3,2,3,3,4,2,3,15,21,4,0,2,0,72
Mexico_Guerrero_Petatlán,64,69,56,52,17,124,453,97,178,59,43,278,402,452,779,918,785,"4,827"
Mexico_Guerrero_Pilcaya,0,0,0,2,1,3,2,1,4,3,1,5,19,3,2,3,4,55
Mexico_Guerrero_Pungarabato,0,0,2,1,1,0,2,2,1,4,2,5,2,1,1,2,0,25
Mexico_Guerrero_Quechultenango,20,9,5,27,13,20,13,27,12,13,26,37,39,23,16,53,68,422
Mexico_Guerrero_San Luis Acatlán,60,40,20,47,50,132,137,119,89,185,138,118,173,144,122,225,122,"1,920"
Mexico_Guerrero_San Marcos,194,165,106,386,366,335,"1,147",560,859,344,637,"1,034",887,479,472,546,302,"8,820"
Mexico_Guerrero_San Miguel Totolapan,64,13,28,59,30,37,149,107,130,95,98,217,240,167,117,234,184,"1,970"
Mexico_Guerrero_Taxco de Alarcón,4,3,2,8,9,9,6,6,11,5,8,3,21,5,5,9,1,113
Mexico_Guerrero_Tecoanapa,36,33,13,163,64,81,243,125,67,116,172,233,192,184,257,165,159,"2,304"
Mexico_Guerrero_Teloloapan,3,1,2,4,5,4,8,12,11,7,4,27,39,12,8,22,5,174
Mexico_Guerrero_Tepecoacuilco de Trujano,1,0,1,0,0,1,1,0,0,1,0,2,12,0,0,2,0,22
Mexico_Guerrero_Tetipac,3,1,3,5,6,7,1,13,7,2,2,5,19,3,1,3,5,87
Mexico_Guerrero_Tixtla de Guerrero,14,1,1,5,4,4,4,5,2,3,8,4,5,2,0,0,0,61
Mexico_Guerrero_Tlacoachistlahuaca,19,7,4,11,7,19,19,35,22,39,19,44,83,82,78,178,206,870
Mexico_Guerrero_Tlacoapa,11,3,4,8,7,7,14,8,3,12,3,9,27,16,6,16,91,245
Mexico_Guerrero_Tlalchapa,3,1,2,12,3,8,31,7,26,23,9,17,17,13,5,5,4,184
Mexico_Guerrero_Tlalixtaquilla de Maldonado,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Guerrero_Tlapa de Comonfort,14,1,0,0,1,3,2,4,1,1,1,7,1,0,1,1,0,37
Mexico_Guerrero_Tlapehuala,2,0,1,3,4,1,74,1,4,4,18,5,5,1,1,1,1,125
Mexico_Guerrero_Técpan de Galeana,160,83,64,62,21,86,734,71,140,118,61,272,423,431,671,"1,185","1,226","5,809"
Mexico_Guerrero_Xalpatláhuac,13,3,1,2,0,3,1,2,1,3,0,5,1,2,1,0,0,38
Mexico_Guerrero_Xochihuehuetlán,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,8
Mexico_Guerrero_Xochistlahuaca,5,2,6,11,8,20,11,21,32,41,18,45,56,123,71,153,115,736
Mexico_Guerrero_Zapotitlán Tablas,71,24,11,38,31,33,61,68,32,46,66,31,127,100,71,143,363,"1,317"
Mexico_Guerrero_Zirándaro,102,25,15,16,63,27,52,39,39,70,41,96,146,126,92,56,6,"1,011"
Mexico_Guerrero_Zitlala,10,1,1,16,5,3,9,10,3,15,11,19,5,1,0,0,0,110
Mexico_Hidalgo_Acatlán,2,0,0,1,1,1,0,0,1,0,0,0,0,0,2,1,0,10
Mexico_Hidalgo_Acaxochitlán,5,7,8,10,10,16,14,25,15,18,15,17,9,10,7,7,8,199
Mexico_Hidalgo_Actopan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Hidalgo_Agua Blanca de Iturbide,1,1,1,2,3,2,5,2,1,13,2,5,2,3,3,6,3,55
Mexico_Hidalgo_Ajacuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Hidalgo_Alfajayucan,4,2,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,12
Mexico_Hidalgo_Almoloya,16,16,7,9,22,13,11,16,21,15,13,36,9,20,25,4,24,278
Mexico_Hidalgo_Apan,15,1,1,5,0,0,1,0,3,1,0,2,1,0,0,0,1,32
Mexico_Hidalgo_Atitalaquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Hidalgo_Atlapexco,27,118,23,54,27,77,59,55,43,90,107,76,69,44,33,75,71,"1,047"
Mexico_Hidalgo_Atotonilco de Tula,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Mexico_Hidalgo_Atotonilco el Grande,2,0,1,0,1,1,0,0,2,2,0,1,1,1,0,0,0,11
Mexico_Hidalgo_Calnali,21,12,23,74,18,32,33,24,46,55,30,84,24,32,14,27,53,601
Mexico_Hidalgo_Cardonal,56,1,4,11,14,17,4,5,6,9,22,13,34,17,4,0,2,220
Mexico_Hidalgo_Chapantongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Hidalgo_Chapulhuacán,55,36,51,109,106,81,142,111,139,211,93,500,39,68,43,54,64,"1,902"
Mexico_Hidalgo_Chilcuautla,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,13
Mexico_Hidalgo_Cuautepec de Hinojosa,79,21,38,37,30,46,41,32,60,55,24,36,33,27,35,37,49,680
Mexico_Hidalgo_El Arenal,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
Mexico_Hidalgo_Eloxochitlán,47,3,38,17,18,58,25,21,29,60,36,66,42,19,11,16,16,521
Mexico_Hidalgo_Emiliano Zapata,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Hidalgo_Epazoyucan,3,5,6,4,21,10,7,3,22,12,21,5,15,3,4,3,11,158
Mexico_Hidalgo_Francisco I. Madero,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mexico_Hidalgo_Huasca de Ocampo,0,1,0,0,0,0,2,2,0,0,1,1,3,0,0,2,3,15
Mexico_Hidalgo_Huautla,165,235,95,266,107,174,333,113,163,283,349,182,219,233,195,321,267,"3,698"
Mexico_Hidalgo_Huazalingo,23,17,13,37,18,24,44,14,25,52,24,103,26,49,3,40,27,538
Mexico_Hidalgo_Huehuetla,68,59,41,78,66,140,107,68,100,97,144,80,184,177,173,216,225,"2,022"
Mexico_Hidalgo_Huejutla de Reyes,218,471,131,380,145,452,412,274,297,422,694,354,302,278,191,407,321,"5,748"
Mexico_Hidalgo_Huichapan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Hidalgo_Ixmiquilpan,36,0,2,2,1,2,0,0,1,1,1,2,45,1,9,18,0,121
Mexico_Hidalgo_Jacala de Ledezma,22,24,7,13,43,6,29,5,18,11,6,76,66,42,4,11,9,393
Mexico_Hidalgo_Jaltocán,19,116,17,45,18,64,33,36,40,36,73,22,24,15,21,34,37,649
Mexico_Hidalgo_Juárez Hidalgo,4,3,4,5,7,12,9,4,5,10,8,20,12,8,1,7,14,132
Mexico_Hidalgo_La Misión,38,21,35,56,52,57,81,49,90,131,34,255,37,50,41,29,38,"1,096"
Mexico_Hidalgo_Lolotla,38,25,43,84,49,51,82,55,78,129,65,162,45,52,32,50,50,"1,089"
Mexico_Hidalgo_Metepec,7,13,27,9,13,12,19,22,24,47,18,18,36,21,26,16,34,363
Mexico_Hidalgo_Metztitlán,41,2,31,13,5,48,18,22,22,25,30,20,34,49,37,29,27,451
Mexico_Hidalgo_Mineral de la Reforma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mexico_Hidalgo_Mineral del Chico,1,1,0,0,3,1,0,2,1,2,1,1,3,0,0,0,0,17
Mexico_Hidalgo_Mineral del Monte,6,4,13,6,12,13,16,5,7,13,12,6,61,6,9,9,13,211
Mexico_Hidalgo_Mixquiahuala de Juárez,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
Mexico_Hidalgo_Molango de Escamilla,26,20,23,47,54,58,64,44,37,91,51,87,43,54,12,27,56,796
Mexico_Hidalgo_Nicolás Flores,14,2,4,2,14,1,1,3,0,3,1,14,8,7,8,7,5,95
Mexico_Hidalgo_Nopala de Villagrán,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8
Mexico_Hidalgo_Omitlán de Juárez,2,1,2,1,1,0,10,6,8,8,3,4,14,4,9,13,14,99
Mexico_Hidalgo_Pachuca de Soto,0,0,0,1,2,0,0,1,1,0,0,2,116,0,2,0,1,126
Mexico_Hidalgo_Pacula,7,0,4,3,30,1,10,2,12,7,1,4,7,0,0,3,1,93
Mexico_Hidalgo_Pisaflores,57,54,45,98,108,91,110,88,82,249,63,333,50,44,36,83,98,"1,690"
Mexico_Hidalgo_Progreso de Obregón,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Hidalgo_San Agustín Metzquititlán,31,36,28,31,55,94,75,59,50,81,54,35,109,57,55,102,73,"1,026"
Mexico_Hidalgo_San Agustín Tlaxiaca,1,4,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,13
Mexico_Hidalgo_San Bartolo Tutotepec,31,25,31,32,38,60,63,31,52,119,54,69,104,66,55,103,139,"1,072"
Mexico_Hidalgo_San Felipe Orizatlán,421,372,262,560,442,863,461,468,535,543,"1,121",466,422,388,226,508,613,"8,671"
Mexico_Hidalgo_San Salvador,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Hidalgo_Santiago Tulantepec de Lugo Guerrero,1,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,7
Mexico_Hidalgo_Santiago de Anaya,6,0,3,1,1,5,1,4,11,0,0,2,1,1,0,0,0,35
Mexico_Hidalgo_Singuilucan,6,2,6,14,22,7,12,14,31,25,35,48,64,40,45,35,57,462
Mexico_Hidalgo_Tasquillo,3,1,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,10
Mexico_Hidalgo_Tecozautla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Hidalgo_Tenango de Doria,5,13,7,9,16,13,20,9,10,32,6,9,9,8,8,9,15,196
