area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Chiapas_Comitán de Domínguez,284,356,340,276,433,340,369,300,521,298,232,221,309,336,330,816,694,"6,455"
Mexico_Chiapas_Copainalá,84,46,91,198,57,25,126,41,85,79,110,52,142,99,106,203,128,"1,672"
Mexico_Chiapas_El Bosque,59,67,18,89,45,26,66,34,57,51,60,52,65,43,74,228,157,"1,191"
Mexico_Chiapas_El Porvenir,4,5,6,13,48,3,5,8,12,8,7,12,12,3,3,11,23,185
Mexico_Chiapas_Escuintla,20,38,26,18,152,71,22,115,44,21,13,31,40,25,12,82,46,775
Mexico_Chiapas_Francisco León,23,22,24,30,30,30,29,44,36,22,60,41,26,43,27,65,89,642
Mexico_Chiapas_Frontera Comalapa,62,165,39,188,20,322,83,258,26,122,280,69,26,19,49,20,18,"1,766"
Mexico_Chiapas_Frontera Hidalgo,3,11,0,0,0,0,0,34,8,12,4,7,6,2,3,25,7,119
Mexico_Chiapas_Huehuetán,38,48,0,0,0,0,0,327,147,84,52,72,102,103,43,150,90,"1,255"
Mexico_Chiapas_Huitiupán,85,98,74,130,164,72,223,134,184,241,160,216,447,411,396,"1,201",645,"4,884"
Mexico_Chiapas_Huixtla,37,95,11,11,14,30,7,255,83,53,67,36,76,64,28,130,50,"1,048"
Mexico_Chiapas_Huixtán,34,45,25,30,34,59,53,33,39,41,15,37,8,10,18,28,83,593
Mexico_Chiapas_Ixhuatán,18,23,28,33,45,20,79,47,31,33,37,39,29,64,35,28,49,640
Mexico_Chiapas_Ixtacomitán,14,5,9,13,7,4,6,16,9,14,12,16,39,50,11,16,37,279
Mexico_Chiapas_Ixtapa,50,98,30,203,25,100,103,37,17,29,236,16,10,12,7,18,10,"1,001"
Mexico_Chiapas_Ixtapangajoya,23,5,8,11,7,6,16,9,5,15,15,19,28,27,23,75,53,345
Mexico_Chiapas_Jiquipilas,301,105,170,294,114,134,541,171,140,401,350,130,90,63,76,121,55,"3,256"
Mexico_Chiapas_Jitotol,119,72,63,197,76,97,174,61,65,105,131,106,92,89,72,119,98,"1,736"
Mexico_Chiapas_Juárez,86,106,91,91,184,19,522,36,90,65,177,50,188,160,130,367,199,"2,560"
Mexico_Chiapas_La Concordia,591,272,175,373,416,375,288,447,201,241,494,225,205,102,110,127,164,"4,806"
Mexico_Chiapas_La Grandeza,8,8,3,12,3,8,10,30,14,15,14,8,13,6,10,17,21,201
Mexico_Chiapas_La Independencia,202,152,488,109,142,243,183,265,486,276,257,273,363,199,194,746,224,"4,801"
Mexico_Chiapas_La Libertad,7,8,36,25,55,5,43,71,31,27,40,44,50,92,68,75,356,"1,033"
Mexico_Chiapas_La Trinitaria,152,150,294,489,136,440,215,421,279,340,251,176,190,123,126,337,118,"4,234"
Mexico_Chiapas_Larráinzar,10,13,10,18,13,13,24,23,13,14,21,20,13,26,16,29,58,336
Mexico_Chiapas_Las Margaritas,"1,463","1,356","2,967","1,408","1,724","1,998","2,021","2,373","3,451","2,170","1,876","2,280","3,034","2,375","2,340","5,802","3,377","42,017"
Mexico_Chiapas_Las Rosas,86,163,137,105,270,87,80,113,198,32,96,105,93,32,39,147,129,"1,913"
Mexico_Chiapas_Mapastepec,165,246,128,470,249,287,195,383,293,233,91,294,278,179,156,392,275,"4,315"
Mexico_Chiapas_Mazapa de Madero,1,1,2,9,2,1,6,9,1,1,1,1,4,1,0,1,2,45
Mexico_Chiapas_Mazatán,42,85,0,0,0,0,0,429,104,75,109,38,149,177,124,238,96,"1,666"
Mexico_Chiapas_Metapa,7,2,0,0,0,0,0,24,5,1,2,1,0,1,0,3,0,46
Mexico_Chiapas_Mitontic,14,17,11,13,15,15,13,21,14,11,14,11,5,19,11,14,40,260
Mexico_Chiapas_Motozintla,40,37,42,67,475,71,36,135,68,46,58,110,121,36,33,135,149,"1,660"
Mexico_Chiapas_Nicolás Ruíz,7,32,21,8,17,4,8,16,10,5,10,9,7,1,3,1,3,160
Mexico_Chiapas_Ocosingo,"5,443","3,695","7,313","5,774","8,147","6,242","12,290","8,391","12,214","10,749","6,345","9,491","10,212","10,104","10,086","20,201","14,496","161,191"
Mexico_Chiapas_Ocotepec,25,31,14,41,24,33,38,39,20,21,52,29,16,36,29,25,45,518
Mexico_Chiapas_Ocozocoautla de Espinosa,957,435,655,498,471,237,688,308,415,373,"1,241",281,821,404,605,"1,343",803,"10,538"
Mexico_Chiapas_Ostuacán,150,129,109,241,154,69,312,149,173,122,196,111,346,230,213,224,291,"3,219"
Mexico_Chiapas_Osumacinta,50,24,33,110,11,35,62,18,7,36,59,15,44,32,16,58,40,652
Mexico_Chiapas_Oxchuc,348,387,244,311,182,418,345,347,326,260,146,495,245,342,368,"1,032",742,"6,541"
Mexico_Chiapas_Palenque,"1,075","1,003","1,093","1,556","1,841",911,"1,976","1,452","2,119","1,569",990,"1,587","2,932","2,952","2,757","3,930","4,431","34,173"
Mexico_Chiapas_Pantelhó,48,46,39,80,47,54,62,106,97,91,73,71,124,138,91,328,203,"1,699"
Mexico_Chiapas_Pantepec,29,40,11,46,36,13,37,9,9,38,17,25,20,23,36,49,31,469
Mexico_Chiapas_Pichucalco,95,78,91,86,103,60,319,105,127,114,175,77,277,314,239,347,296,"2,903"
Mexico_Chiapas_Pijijiapan,193,317,282,880,288,315,288,401,221,253,196,351,506,312,140,568,290,"5,800"
Mexico_Chiapas_Pueblo Nuevo Solistahuacán,92,80,80,152,113,70,167,93,93,205,163,104,206,171,179,242,298,"2,507"
Mexico_Chiapas_Rayón,17,12,11,32,24,10,28,9,8,21,16,19,9,11,15,15,20,276
Mexico_Chiapas_Reforma,82,79,47,106,130,17,191,50,79,66,63,42,87,73,96,97,89,"1,394"
Mexico_Chiapas_Sabanilla,87,65,36,111,120,59,185,103,133,166,112,143,436,417,302,"1,101",647,"4,223"
Mexico_Chiapas_Salto de Agua,538,471,430,558,528,472,848,872,"1,033",819,755,"1,204","2,106","2,466","2,415","3,203","3,571","22,288"
Mexico_Chiapas_San Cristóbal de las Casas,66,70,35,55,29,112,69,65,56,38,72,53,33,32,34,110,86,"1,015"
Mexico_Chiapas_San Fernando,50,31,85,134,38,32,117,46,23,38,144,21,56,56,38,140,70,"1,119"
Mexico_Chiapas_San Lucas,42,55,19,37,20,67,49,58,14,9,26,14,7,8,6,7,16,453
Mexico_Chiapas_Siltepec,113,75,50,149,250,116,62,234,93,71,217,164,188,62,83,121,171,"2,220"
Mexico_Chiapas_Simojovel,137,138,144,152,229,80,265,171,192,281,112,159,292,300,323,950,534,"4,460"
Mexico_Chiapas_Sitalá,50,70,62,138,83,141,117,128,135,79,99,106,98,170,137,534,273,"2,419"
Mexico_Chiapas_Socoltenango,182,134,189,213,228,81,207,195,140,75,171,73,49,54,63,53,23,"2,129"
Mexico_Chiapas_Solosuchiapa,27,22,20,20,22,10,32,50,20,34,46,25,29,42,24,42,81,545
Mexico_Chiapas_Soyaló,39,12,47,85,3,52,110,29,15,22,160,15,13,28,15,38,17,702
Mexico_Chiapas_Suchiapa,52,55,116,91,32,55,83,30,13,26,168,25,17,19,21,34,7,846
Mexico_Chiapas_Suchiate,15,37,0,0,0,0,0,111,33,59,30,28,23,33,38,175,49,631
Mexico_Chiapas_Sunuapa,11,12,8,11,6,11,32,17,18,14,37,27,43,32,26,26,34,365
Mexico_Chiapas_Tapachula,42,68,7,10,82,14,12,516,222,66,116,142,155,215,168,720,198,"2,754"
Mexico_Chiapas_Tapalapa,8,5,13,13,8,8,14,6,4,13,6,9,3,8,9,8,11,147
Mexico_Chiapas_Tapilula,3,2,2,6,1,2,7,4,2,7,10,3,3,6,8,7,13,88
Mexico_Chiapas_Tecpatán,330,335,243,453,530,120,753,285,417,371,373,253,"1,012",505,714,822,751,"8,266"
Mexico_Chiapas_Tenejapa,27,26,22,39,14,46,29,51,28,20,23,66,15,26,20,32,65,549
Mexico_Chiapas_Teopisca,104,178,136,122,120,144,136,122,190,103,136,97,149,61,74,187,238,"2,298"
Mexico_Chiapas_Tila,179,149,107,214,184,115,212,284,250,270,331,299,709,892,761,"1,981","1,542","8,479"
Mexico_Chiapas_Tonalá,396,286,556,796,193,315,268,377,272,265,127,196,204,215,137,544,209,"5,356"
Mexico_Chiapas_Totolapa,24,38,4,16,18,10,19,14,5,5,34,7,29,13,12,19,9,276
Mexico_Chiapas_Tumbalá,263,208,123,283,119,243,318,580,388,322,346,816,"1,098","1,292","1,244","2,937","1,903","12,481"
Mexico_Chiapas_Tuxtla Chico,26,58,0,0,0,0,0,225,171,29,56,96,50,32,12,93,21,868
Mexico_Chiapas_Tuxtla Gutiérrez,67,31,44,76,14,33,78,50,21,32,112,25,19,9,10,34,15,671
Mexico_Chiapas_Tuzantán,8,16,9,28,14,27,12,146,87,35,32,39,34,37,12,75,29,641
Mexico_Chiapas_Tzimol,97,84,230,290,191,104,120,116,92,144,87,62,66,60,78,92,91,"2,005"
Mexico_Chiapas_Venustiano Carranza,220,337,193,225,257,102,218,371,95,132,138,78,100,38,29,80,59,"2,672"
Mexico_Chiapas_Villa Comaltitlán,53,62,77,136,235,140,95,303,177,124,117,131,132,73,50,177,102,"2,184"
