Anio,Sembrada
2004,220.0
2005,2315.0
2006,1732.0
2007,100.0
2008,2866.0
2009,6000.0
2010,7468.9400000000005
2011,4057.0
2012,2191.0
2013,6851.1900000000005
2014,16300.77
2015,14709.0
2016,24000.0
2017,28550.0
