Anio,Sembrada
2003,33290.5
2004,37090.0
2005,45668.66
2006,52341.45
2007,57510.45
2008,63006.0
2009,60756.9
2010,60914.82
2011,65936.75
2012,60657.5
2013,69562.44
2014,79156.26999999999
2015,77692.5
2016,88254.5
2017,91150.5
