Anio,Sembrada
2003,2400.0
2004,5316.0
2005,16935.0
2006,11629.5
2007,5586.0
2008,16056.0
2009,33624.0
2010,52981.32000000001
2011,32937.0
2012,20381.52
2013,47112.12
2014,91097.81999999999
2015,93006.51
2016,113355.0
2017,120060.0
