Nomestado,Anio,Volumen
Jalisco,2010.0,5838.682999999998
Jalisco,2011.0,5739.763000000002
Jalisco,2012.0,5940.0210000000025
Jalisco,2013.0,6634.630000000002
Jalisco,2014.0,7076.13
Jalisco,2015.0,5047.120999999998
Jalisco,2016.0,4589.806999999997
Jalisco,2017.0,5814.709999999999
Michoacán,2006.0,1860.8840000000007
Michoacán,2007.0,1857.8730000000003
Michoacán,2008.0,1778.8709999999996
Michoacán,2009.0,1693.4660000000008
Michoacán,2010.0,1743.0780000000002
Michoacán,2011.0,1728.2309999999998
Michoacán,2012.0,1690.6019999999996
Michoacán,2013.0,1981.9890000000005
Michoacán,2014.0,1957.3089999999988
Michoacán,2015.0,1905.0780000000002
Michoacán,2016.0,2084.85
Michoacán,2017.0,1700.5690000000004
Morelos,2006.0,781.252
Morelos,2007.0,795.3290000000003
Morelos,2008.0,993.6449999999999
Morelos,2009.0,1009.629
Morelos,2010.0,1062.616
Morelos,2011.0,790.6560000000002
Morelos,2012.0,1042.3249999999998
Morelos,2013.0,1376.115
Morelos,2014.0,1568.4950000000001
Morelos,2015.0,1654.7049999999997
Morelos,2016.0,1873.2300000000005
Morelos,2017.0,1923.7910000000002
México,2006.0,1196.858
México,2007.0,1261.0099999999993
México,2008.0,1227.3220000000001
México,2009.0,1195.1439999999998
México,2010.0,1265.205
México,2011.0,1201.6720000000005
México,2012.0,1214.583
México,2013.0,1175.0450000000003
México,2014.0,1172.468
México,2015.0,1096.9949999999997
México,2016.0,1066.9920000000002
México,2017.0,952.4850000000001
Nayarit,2006.0,414.03
Nayarit,2007.0,428.331
Nayarit,2008.0,427.58700000000005
Nayarit,2009.0,435.091
Nayarit,2010.0,381.23900000000003
Nayarit,2011.0,387.042
Nayarit,2012.0,363.991
Nayarit,2013.0,409.293
Nayarit,2014.0,426.682
Nayarit,2015.0,358.15200000000004
Nayarit,2016.0,376.517
Nayarit,2017.0,338.99199999999996
Nuevo León,2006.0,403.46000000000004
Nuevo León,2007.0,455.88
Nuevo León,2008.0,476.70000000000005
Nuevo León,2009.0,503.56999999999994
Nuevo León,2010.0,961.2770000000002
Nuevo León,2011.0,294.72
Nuevo León,2012.0,156.7
Nuevo León,2013.0,321.0
Nuevo León,2014.0,257.315
Nuevo León,2015.0,96.559
Nuevo León,2016.0,99.245
Nuevo León,2017.0,167.01999999999998
Oaxaca,2006.0,2902.804
Oaxaca,2007.0,2900.8630000000003
Oaxaca,2008.0,2937.581
Oaxaca,2009.0,3511.6629999999996
Oaxaca,2010.0,3565.224
Oaxaca,2011.0,3619.6800000000003
Oaxaca,2012.0,3782.430000000002
Oaxaca,2013.0,3797.516999999999
Oaxaca,2014.0,3767.854
Oaxaca,2015.0,3825.637999999999
Oaxaca,2016.0,4150.405999999998
Oaxaca,2017.0,4077.605000000003
Puebla,2006.0,2914.2479999999973
Puebla,2007.0,2843.3669999999984
Puebla,2008.0,2977.656999999998
Puebla,2009.0,3190.121999999998
Puebla,2010.0,3211.522000000001
Puebla,2011.0,3115.199999999998
Puebla,2012.0,3137.1710000000007
Puebla,2013.0,2557.669999999999
Puebla,2014.0,2369.026000000001
Puebla,2015.0,2528.0589999999997
Puebla,2016.0,2193.9469999999997
Puebla,2017.0,2435.2120000000004
Querétaro,2006.0,87.657
Querétaro,2007.0,107.83999999999999
Querétaro,2008.0,88.07
Querétaro,2009.0,90.912
Querétaro,2010.0,108.775
Querétaro,2011.0,57.519999999999996
Querétaro,2012.0,150.39100000000002
Querétaro,2013.0,139.35899999999998
Querétaro,2014.0,177.145
Querétaro,2015.0,134.77300000000002
Querétaro,2016.0,31.343
Querétaro,2017.0,117.156
Quintana Roo,2006.0,2639.6749999999997
Quintana Roo,2007.0,2332.5990000000006
Quintana Roo,2008.0,2188.119
Quintana Roo,2009.0,2170.466
Quintana Roo,2010.0,2269.947
Quintana Roo,2011.0,2267.5360000000005
Quintana Roo,2012.0,2158.6710000000003
Quintana Roo,2013.0,3188.138000000001
Quintana Roo,2014.0,3350.89
Quintana Roo,2015.0,3479.6349999999998
Quintana Roo,2016.0,2884.5969999999998
Quintana Roo,2017.0,3044.005
San Luis Potosí,2006.0,1009.551
San Luis Potosí,2007.0,1011.3549999999999
San Luis Potosí,2008.0,1009.085
San Luis Potosí,2009.0,906.746
San Luis Potosí,2010.0,955.0589999999997
San Luis Potosí,2011.0,973.2900000000001
San Luis Potosí,2012.0,891.7360000000001
San Luis Potosí,2013.0,973.1329999999999
San Luis Potosí,2014.0,897.2890000000001
San Luis Potosí,2015.0,1057.556
San Luis Potosí,2016.0,1085.0349999999996
San Luis Potosí,2017.0,1037.1629999999998
Sinaloa,2006.0,809.508
Sinaloa,2007.0,487.706
Sinaloa,2008.0,581.567
Sinaloa,2009.0,520.0690000000001
Sinaloa,2010.0,486.48
Sinaloa,2011.0,339.752
Sinaloa,2012.0,301.588
Sinaloa,2013.0,174.80999999999997
Sinaloa,2014.0,193.62399999999997
Sinaloa,2015.0,191.777
Sinaloa,2016.0,193.67399999999998
Sinaloa,2017.0,133.583
Sonora,2006.0,377.73900000000003
Sonora,2007.0,368.87
Sonora,2008.0,386.85800000000006
Sonora,2009.0,340.47600000000006
Sonora,2010.0,377.16900000000004
Sonora,2011.0,249.89700000000002
Sonora,2012.0,515.863
Sonora,2013.0,410.32499999999993
Sonora,2014.0,431.7699999999999
Sonora,2015.0,525.728
Sonora,2016.0,583.285
Sonora,2017.0,539.6039999999999
Tabasco,2006.0,172.88
Tabasco,2007.0,159.676
Tabasco,2008.0,141.79399999999998
Tabasco,2009.0,157.01
Tabasco,2010.0,192.83699999999996
Tabasco,2011.0,235.48000000000002
Tabasco,2012.0,277.19399999999996
Tabasco,2013.0,271.94399999999996
Tabasco,2014.0,309.563
Tabasco,2015.0,340.9200000000001
Tabasco,2016.0,353.43899999999996
Tabasco,2017.0,380.52599999999995
Tamaulipas,2006.0,564.7389999999999
Tamaulipas,2007.0,601.2309999999999
Tamaulipas,2008.0,638.1629999999999
Tamaulipas,2009.0,653.1669999999999
Tamaulipas,2010.0,652.442
Tamaulipas,2011.0,613.1619999999998
Tamaulipas,2012.0,631.297
Tamaulipas,2013.0,616.8599999999999
Tamaulipas,2014.0,637.762
Tamaulipas,2015.0,665.801
Tamaulipas,2016.0,800.026
Tamaulipas,2017.0,693.917
Tlaxcala,2006.0,1065.885
Tlaxcala,2007.0,1062.372
Tlaxcala,2008.0,1087.5100000000002
Tlaxcala,2009.0,1100.0030000000002
Tlaxcala,2010.0,1126.809
Tlaxcala,2011.0,570.2189999999999
Tlaxcala,2012.0,1066.076
Tlaxcala,2013.0,1206.594
Tlaxcala,2014.0,1219.062
Tlaxcala,2015.0,1087.9859999999999
Tlaxcala,2016.0,910.8420000000002
Tlaxcala,2017.0,985.0450000000003
Veracruz,2006.0,5263.241000000002
Veracruz,2007.0,3382.8520000000008
Veracruz,2008.0,4188.289000000001
Veracruz,2009.0,3984.6760000000013
Veracruz,2010.0,4399.530000000001
Veracruz,2011.0,4292.607999999999
Veracruz,2012.0,4575.969
Veracruz,2013.0,4563.804
Veracruz,2014.0,4124.095
Veracruz,2015.0,4754.317999999999
Veracruz,2016.0,4766.064000000003
Veracruz,2017.0,4704.091
Yucatán,2006.0,8416.641999999998
Yucatán,2007.0,8483.287
Yucatán,2008.0,9773.708999999999
Yucatán,2009.0,8373.023999999998
Yucatán,2010.0,8301.806
Yucatán,2011.0,10194.992
Yucatán,2012.0,10405.489999999998
Yucatán,2013.0,8111.141999999998
Yucatán,2014.0,10575.284000000003
Yucatán,2015.0,11629.153000000006
Yucatán,2016.0,7489.530000000002
Yucatán,2017.0,4350.755
Zacatecas,2006.0,1486.9759999999997
Zacatecas,2007.0,1323.2910000000004
Zacatecas,2008.0,1511.7620000000009
Zacatecas,2009.0,1572.3310000000004
Zacatecas,2010.0,1656.2690000000005
Zacatecas,2011.0,1623.0320000000002
Zacatecas,2012.0,1636.7590000000005
Zacatecas,2013.0,1967.5579999999995
Zacatecas,2014.0,1581.6960000000001
Zacatecas,2015.0,1654.0410000000002
Zacatecas,2016.0,1929.4029999999998
Zacatecas,2017.0,2077.8419999999996
